Name,SATPercentage,SAT_Bottom25Percent,SAT_Top25Percent,ACTPercentage,ACT_Bottom25Percent,ACT_Top25Percent,PercentageAdmitted,InStateTuition_2014,OutofStateTuition_2014,State,Region,Type,Location,PercentageBlack,PercentageLatinx,PercentageFemale,GraduationRate,PercentageRecievingAnyFinancialAid,PercentageRecievingPellGrant
Oklahoma State University-Main Campus,27,490,600,90,22,28,76,21842,34427,Oklahoma,Southwest,Public,Distant Town,5,5,49,49,77,27
Milwaukee School of Engineering,6,540,640,87,25,30,68,46220,46220,Wisconsin,Great Lakes,Private,Large City,3,5,23,49,97,27
Suffolk University,89,440,560,9,20,25,83,49979,49979,Massachusetts,New England,Private,Large City,5,11,55,49,77,35
Concordia University-Chicago,14,440,590,93,20,24,54,38862,38862,Illinois,Great Lakes,Private,Large Suburb,14,22,60,49,100,52
Abilene Christian University,50,470,580,50,21,27,49,41800,41800,Texas,Southwest,Private,Midsize City,7,12,57,49,99,23
York College Pennsylvania,95,470,560,18,20,25,74,29790,29790,Pennsylvania,Mid East,Private,Midsize Suburb,5,5,55,49,98,24
Michigan Technological University,9,520,650,95,24,29,77,26375,41255,Michigan,Great Lakes,Public,Remote Town,1,2,25,49,94,28
University of Mississippi,30,490,590,86,21,27,59,22444,33412,Mississippi,Southeast,Public,Remote Town,15,3,55,49,73,26
King University,38,450,560,68,20,25,64,37758,37758,Tennessee,Southeast,Private,Small City,5,2,65,49,91,48
North Greenville University,68,450,670,62,21,29,58,30000,30000,South Carolina,Southeast,Private,Fringe Rural,7,2,50,50,100,40
Massachusetts College of Liberal Arts,89,480,580,8,20,25,67,21363,30308,Massachusetts,New England,Public,Fringe Town,9,6,60,50,78,48
Notre Dame of Maryland University,86,470,590,12,20,23,50,45650,45650,Maryland,Mid East,Private,Large City,28,6,95,50,99,58
University of Kentucky,18,490,610,92,22,28,69,23732,34814,Kentucky,Southeast,Public,Large City,8,3,51,50,85,25
Randolph College,89,490,610,26,21,28,83,46060,46060,Virginia,Southeast,Private,Small City,9,6,64,50,100,33
University of Saint Mary,34,410,500,80,19,24,47,34536,34536,Kansas,Plains,Private,Fringe Town,10,7,65,50,100,40
Fresno Pacific University,98,440,550,39,18,22,78,36991,36991,California,Far West,Private,Large City,5,40,68,50,99,55
Wheelock College,91,440,550,15,19,25,73,47870,47870,Massachusetts,New England,Private,Large City,11,11,88,50,100,31
Rochester Institute of Technology,66,540,640,34,25,31,60,47627,47627,New York,Mid East,Private,Large Suburb,5,6,32,50,90,31
Clearwater Christian College,52,460,580,67,19,25,70,30125,30125,Florida,Southeast,Private,Midsize City,4,12,48,50,100,51
Stevenson University,93,440,540,20,18,23,60,43556,43556,Maryland,Mid East,Private,Fringe Rural,28,4,65,50,99,33
Dallas Baptist University,41,472,656,59,18,27,42,34176,34176,Texas,Southwest,Private,Large City,16,12,58,50,94,25
Robert Morris University,75,460,550,11,21,24,81,40755,40755,Pennsylvania,Mid East,Private,Large Suburb,7,2,46,50,99,34
MidAmerica Nazarene University,7,420,540,93,19,21,72,33687,33687,Kansas,Plains,Private,Large Suburb,11,5,61,50,97,43
Wingate University,86,440,550,47,19,24,79,37740,37740,North Carolina,Southeast,Private,Large Suburb,15,2,59,50,95,35
Corban University,89,480,590,41,20,26,32,40407,40407,Oregon,Far West,Private,Midsize City,1,4,61,50,100,39
Vanguard University of Southern California,82,430,550,29,18,28,70,43076,43076,California,Far West,Private,Midsize City,4,34,68,50,98,39
Plymouth State University,93,430,530,10,18,23,77,26555,33975,New Hampshire,New England,Public,Remote Town,2,3,48,50,65,31
Ball State University,58,490,590,41,20,24,61,22250,37214,Indiana,Great Lakes,Public,Small City,7,3,58,50,64,35
Waynesburg University,71,450,560,29,20,25,75,31500,31500,Pennsylvania,Mid East,Private,Distant Town,3,1,61,51,96,39
Saint Mary's University of Minnesota,5,465,550,93,20,26,75,39750,39750,Minnesota,Plains,Private,Distant Town,5,5,55,51,99,37
Embry-Riddle Aeronautical University-Prescott,71,500,630,53,23,29,79,46314,46314,Arizona,Southwest,Private,Fringe Rural,2,7,21,51,90,20
Ashland University,11,430,550,94,20,25,74,42833,42833,Ohio,Great Lakes,Private,Fringe Town,13,2,51,51,97,37
Illinois Institute of Technology,27,520,640,74,25,30,57,54677,54677,Illinois,Great Lakes,Private,Large City,7,14,30,51,100,34
Loyola University New Orleans,45,520,640,58,22,28,87,51760,51760,Louisiana,Southeast,Private,Large City,16,16,59,51,97,35
University of New Haven,90,460,550,24,20,25,74,50210,50210,Connecticut,New England,Private,Large Suburb,8,8,49,51,95,28
Arizona State University-Tempe,64,500,620,51,22,28,80,23837,37630,Arizona,Southwest,Public,Midsize City,4,18,44,51,87,29
Lasell College,92,440,540,14,18,23,76,46000,46000,Massachusetts,New England,Private,Small City,7,9,64,51,98,30
University of Arkansas,27,500,600,91,23,28,59,22212,33468,Arkansas,Southeast,Public,Small City,5,6,51,51,66,22
Gardner-Webb University,77,440,550,51,19,25,48,37620,37620,North Carolina,Southeast,Private,Distant Town,16,2,65,51,98,39
California Baptist University,82,430,550,44,18,24,79,42228,42228,California,Far West,Private,Large City,8,30,64,51,93,46
College of Mount St Joseph,29,400,520,88,19,24,88,35880,35880,Ohio,Great Lakes,Private,Large Suburb,9,2,63,51,100,34
Eastern Nazarene College,90,410,550,25,17,24,56,38522,38522,Massachusetts,New England,Private,Large Suburb,21,11,73,51,100,47
The Evergreen State College,75,500,630,30,20,27,97,22641,34728,Washington,Far West,Public,Midsize Suburb,5,7,53,51,80,32
Tabor College,27,400,510,83,18,27,74,36750,36750,Kansas,Plains,Private,Remote Town,8,11,48,51,100,43
University of North Carolina at Asheville,84,550,650,16,24,27,64,18765,32587,North Carolina,Southeast,Public,Small City,3,4,57,51,65,26
The University of Findlay,23,480,570,94,21,26,68,41306,41306,Ohio,Great Lakes,Private,Distant Town,3,2,62,51,100,28
SUNY College at Oswego,96,520,590,33,22,26,49,21991,31441,New York,Mid East,Public,Distant Town,6,9,52,51,78,40
University of La Verne,91,460,550,31,20,25,39,51997,51997,California,Far West,Private,Large Suburb,6,48,58,51,96,47
Walsh University,21,440,570,91,20,25,77,39390,39390,Ohio,Great Lakes,Private,Large Suburb,5,2,61,51,100,34
Bay Path College,96,430,550,7,18,22,58,44559,44559,Massachusetts,New England,Private,Large Suburb,12,15,100,51,100,52
Thomas More College,24,430,520,92,20,25,88,38621,38621,Kentucky,Southeast,Private,Large Suburb,6,2,52,51,100,41
Wilson College,80,440,570,12,19,24,53,41963,41963,Pennsylvania,Mid East,Private,Small City,3,2,88,51,92,45
The Master's College and Seminary,79,490,620,35,22,27,61,42147,42147,California,Far West,Private,Large Suburb,4,11,47,52,95,33
Cairn University-Langhorne,97,443,588,10,18,26,51,34090,34090,Pennsylvania,Mid East,Private,Large Suburb,15,5,54,52,100,43
Westminster College,37,500,610,78,22,28,75,42108,42108,Utah,Rocky Mountains,Private,Midsize City,1,10,55,52,95,27
Albright College,64,460,560,11,20,25,62,49160,49160,Pennsylvania,Mid East,Private,Small City,16,9,58,52,99,50
Oklahoma Baptist University,19,460,600,87,21,27,56,33400,33400,Oklahoma,Southwest,Private,Distant Town,5,5,59,52,99,39
Regis University,30,490,600,67,21,26,70,46326,46326,Colorado,Rocky Mountains,Private,Large City,5,17,63,52,98,28
University of South Florida-Main Campus,56,530,620,44,23,28,45,20760,31674,Florida,Southeast,Public,Large City,11,19,55,52,96,42
Millersville University of Pennsylvania,96,460,550,14,19,24,72,21309,31433,Pennsylvania,Mid East,Public,Large Suburb,9,7,55,52,51,33
Pennsylvania State University-Penn State Harrisburg,82,440,550,5,22,24,80,30840,37902,Pennsylvania,Mid East,Public,Large Suburb,10,6,43,52,60,33
Milligan College,27,480,583,85,22,26,68,38266,38266,Tennessee,Southeast,Private,Midsize Suburb,5,4,62,52,98,32
Lynchburg College,92,450,550,29,19,24,64,44695,44695,Virginia,Southeast,Private,Small City,11,4,60,52,99,33
Radford University,85,450,540,28,18,22,78,20700,32865,Virginia,Southeast,Public,Small City,10,5,56,52,43,26
Hastings College,7,450,540,99,21,26,74,37152,37152,Nebraska,Plains,Private,Distant Town,3,5,49,52,100,32
William Woods University,16,472,590,84,19,26,75,35250,35250,Missouri,Plains,Private,Distant Town,4,1,73,52,100,40
Georgetown College,8,410,610,95,21,26,82,44110,44110,Kentucky,Southeast,Private,Fringe Town,10,3,54,52,98,37
University of Indianapolis,82,450,550,53,19,25,84,38378,38378,Indiana,Great Lakes,Private,Large City,11,3,67,52,98,37
Howard University,76,490,590,48,21,26,49,41643,41643,District of Columbia,Mid East,Private,Large City,91,0,67,52,76,47
St Catherine University,5,480,620,96,20,25,61,47012,47012,Minnesota,Plains,Private,Large City,10,5,97,52,99,45
Rivier University,97,430,500,12,17,21,89,43227,43227,New Hampshire,New England,Private,Small City,3,5,82,52,99,33
Georgia College and State University,65,530,610,59,22,26,68,23752,41652,Georgia,Southeast,Public,Distant Town,5,5,60,53,91,19
San Diego State University,92,480,590,42,21,26,31,25068,36228,California,Far West,Public,Large City,4,29,55,53,48,34
Aurora University,7,460,560,93,19,24,76,33228,33228,Illinois,Great Lakes,Private,Large Suburb,9,20,63,53,100,43
Eastern University,93,480,570,7,18,24,64,42192,42192,Pennsylvania,Mid East,Private,Large Suburb,21,15,70,53,100,38
Marymount University,88,470,570,32,20,24,83,41160,41160,Virginia,Southeast,Private,Midsize City,15,15,68,53,95,29
Spring Hill College,20,480,600,92,21,27,46,46170,46170,Alabama,Southeast,Private,Midsize City,16,9,60,53,100,33
San Diego State University-Imperial Valley Campus,86,360,480,54,16,21,61,,,California,Far West,Public,Midsize Suburb,0,87,70,53,,
Anderson University,76,470,570,62,21,25,55,39390,39390,Indiana,Great Lakes,Private,Small City,9,2,60,53,100,33
SUNY College at Plattsburgh,89,460,550,29,20,24,46,21309,30759,New York,Mid East,Public,Distant Town,6,8,56,53,77,34
University of Arizona,66,483,600,52,21,27,77,25179,42171,Arizona,Southwest,Public,Large City,3,24,52,53,75,30
Delaware Valley College,86,430,563,14,19,25,68,47467,47467,Pennsylvania,Mid East,Private,Large Suburb,6,6,63,53,99,33
Maryville College,28,450,550,84,21,26,73,44472,44472,Tennessee,Southeast,Private,Large Suburb,7,3,56,53,100,48
California Maritime Academy,86,470,580,46,21,26,75,21102,32262,California,Far West,Public,Midsize City,2,16,14,53,43,26
Benedictine College,14,515,655,84,22,28,61,37855,37855,Kansas,Plains,Private,Distant Town,3,6,52,53,100,25
University of Nebraska-Lincoln,7,490,660,93,22,28,64,22246,35574,Nebraska,Plains,Public,Large City,2,5,46,53,67,24
University of Rhode Island,92,480,580,17,22,26,79,26882,42448,Rhode Island,New England,Public,Large Suburb,5,9,54,53,79,26
Westfield State University,92,450,540,7,17,22,75,21296,27376,Massachusetts,New England,Public,Large Suburb,4,7,52,53,45,32
Colorado State University-Fort Collins,28,510,620,92,22,27,77,23203,39056,Colorado,Rocky Mountains,Public,Midsize City,2,9,51,53,46,24
University of Oklahoma-Norman Campus,35,500,630,86,23,29,80,23441,35630,Oklahoma,Southwest,Public,Midsize Suburb,5,9,49,53,65,23
California Polytechnic State University-San Luis Obispo,88,550,650,62,25,30,31,24285,35445,California,Far West,Public,Small Suburb,1,15,45,53,41,14
Harding University,29,490,630,87,22,28,76,26634,26634,Arkansas,Southeast,Private,Distant Town,4,3,54,54,96,28
University of the Pacific,89,500,640,39,22,29,73,57033,57033,California,Far West,Private,Large City,3,19,52,54,90,29
Philadelphia University,77,480,570,18,21,25,64,49426,49426,Pennsylvania,Mid East,Private,Large City,13,7,65,54,98,29
Guilford College,65,460,610,28,20,26,68,45395,45395,North Carolina,Southeast,Private,Large City,24,5,56,54,98,38
University of Maryland-Baltimore County,92,540,640,18,24,29,63,24762,36336,Maryland,Mid East,Public,Large Suburb,16,6,45,54,65,21
West Virginia Wesleyan College,41,432,510,74,20,25,77,40534,40534,West Virginia,Southeast,Private,Remote Town,9,2,53,54,100,40
Mercer University,61,540,630,38,23,28,69,48212,48212,Georgia,Southeast,Private,Small City,33,4,63,54,99,33
Northeastern University,53,640,730,33,30,33,32,58096,58096,Massachusetts,New England,Private,Large City,3,7,51,54,72,15
Monmouth University,90,480,560,9,22,25,78,46152,46152,New Jersey,Mid East,Private,Large Suburb,5,9,59,54,98,25
Webster University,15,500,650,85,21,27,58,41918,41918,Missouri,Plains,Private,Large Suburb,15,4,57,54,94,37
Champlain College,85,500,620,25,22,28,71,46850,46850,Vermont,New England,Private,Small City,3,4,40,54,92,25
Florida Southern College,82,490,590,60,22,27,50,40700,40700,Florida,Southeast,Private,Small City,6,9,61,54,99,33
Erskine College,76,450,550,67,19,24,70,47610,47610,South Carolina,Southeast,Private,Distant Rural,9,4,48,54,100,45
Slippery Rock University of Pennsylvania,100,450,540,30,19,23,67,22132,25634,Pennsylvania,Mid East,Public,Distant Town,5,2,56,54,49,32
Drexel University,87,510,630,23,24,30,81,57870,57870,Pennsylvania,Mid East,Private,Large City,7,6,47,54,93,18
Trinity Christian College,6,450,640,94,20,25,90,36820,36820,Illinois,Great Lakes,Private,Large Suburb,9,10,65,54,96,32
Covenant College,72,530,670,58,23,28,57,40330,40330,Georgia,Southeast,Private,Large Suburb,3,2,56,54,98,32
Malone University,21,460,558,92,19,26,72,37934,37934,Ohio,Great Lakes,Private,Small City,7,3,57,54,100,44
Norwich University,77,470,570,32,21,26,63,49655,49655,Vermont,New England,Private,Distant Town,3,6,28,55,99,28
Oklahoma Wesleyan University,33,410,520,78,18,24,49,34960,34960,Oklahoma,Southwest,Private,Distant Town,7,7,61,55,100,45
University of Central Florida,64,540,630,36,23,28,49,20839,36938,Florida,Southeast,Public,Large Suburb,11,22,55,55,93,31
Brigham Young University-Provo,32,570,680,93,26,31,49,17496,17496,Utah,Rocky Mountains,Private,Midsize City,0,6,46,55,49,17
University of New England,94,470,570,21,21,26,86,50295,50295,Maine,New England,Private,Midsize Suburb,2,1,71,55,100,27
Bloomsburg University of Pennsylvania,97,440,530,12,19,23,89,22182,32306,Pennsylvania,Mid East,Public,Small City,8,5,56,55,44,32
Alma College,54,460,550,98,22,27,68,44287,44287,Michigan,Great Lakes,Private,Distant Town,2,3,55,55,100,33
Eureka College,8,565,665,92,19,26,68,30900,30900,Illinois,Great Lakes,Private,Fringe Town,5,3,59,55,100,43
Centenary College of Louisiana,26,480,585,91,22,28,66,44600,44600,Louisiana,Southeast,Private,Midsize City,15,6,56,55,100,37
Temple University,92,500,610,20,22,27,64,29632,39658,Pennsylvania,Mid East,Public,Large City,13,5,51,55,82,27
Emmanuel College,93,500,590,18,21,26,60,51363,51363,Massachusetts,New England,Private,Large City,5,5,73,55,99,26
Grand Valley State University,3,470,590,98,21,26,83,22432,27104,Michigan,Great Lakes,Public,Large Suburb,5,4,58,55,73,34
Seton Hill University,92,450,570,37,19,26,65,43900,43900,Pennsylvania,Mid East,Private,Large Suburb,8,2,63,55,100,40
Cedar Crest College,92,430,520,15,17,24,59,45021,45021,Pennsylvania,Mid East,Private,Midsize City,9,12,93,55,100,51
Hannibal-LaGrange University,3,420,620,79,19,25,68,29258,29258,Missouri,Plains,Private,Remote Town,3,1,58,55,93,46
Towson University,92,490,580,21,21,25,60,23166,34844,Maryland,Mid East,Public,Small City,15,5,60,55,47,22
Washington State University,88,450,570,23,19,25,82,27697,40779,Washington,Far West,Public,Distant Town,3,11,51,56,64,32
Ouachita Baptist University,19,440,550,91,21,27,70,32610,32610,Arkansas,Southeast,Private,Distant Town,8,4,53,56,99,29
Louisiana State University and Agricultural & Mechanical College,11,500,620,89,23,28,76,23227,41144,Louisiana,Southeast,Public,Fringe Rural,11,5,52,56,88,23
Capital University,20,470,600,93,21,27,76,44350,44350,Ohio,Great Lakes,Private,Large Suburb,9,3,58,56,100,36
Franklin College,88,450,550,52,19,24,60,40035,40035,Indiana,Great Lakes,Private,Large Suburb,4,1,50,56,100,42
Lewis University,3,440,550,96,21,26,56,39335,39335,Illinois,Great Lakes,Private,Large Suburb,8,17,56,56,99,35
Molloy College,90,480,560,29,20,25,73,43718,43718,New York,Mid East,Private,Large Suburb,13,14,74,56,93,30
William Jewell College,9,498,670,94,22,28,58,43820,43820,Missouri,Plains,Private,Large Suburb,6,4,57,56,100,30
The University of Tennessee-Knoxville,18,520,640,94,24,29,72,27450,45940,Tennessee,Southeast,Public,Midsize City,7,3,49,56,92,30
Longwood University,95,460,550,24,19,23,81,23724,36594,Virginia,Southeast,Public,Remote Town,8,5,66,56,47,23
Millikin University,6,490,570,96,21,26,55,40694,40694,Illinois,Great Lakes,Private,Small City,12,6,59,56,100,39
Mount Vernon Nazarene University,14,480,620,99,20,26,63,35020,35020,Ohio,Great Lakes,Private,Distant Town,5,2,64,56,97,37
Saint Mary's College of California,80,500,600,43,22,27,69,58365,58365,California,Far West,Private,Fringe Rural,4,25,59,56,89,25
Lipscomb University,25,520,650,90,22,28,53,40448,40448,Tennessee,Southeast,Private,Large City,8,5,60,56,100,26
SUNY at Purchase College,95,500,600,22,21,26,33,24672,34122,New York,Mid East,Public,Large Suburb,8,18,56,56,60,34
The University of Texas at Dallas,81,550,670,45,25,31,59,24784,39958,Texas,Southwest,Public,Midsize City,6,17,43,56,79,26
The Richard Stockton College of New Jersey,91,480,570,16,20,24,62,27929,34322,New Jersey,Mid East,Public,Midsize Suburb,6,10,59,56,59,32
Sweet Briar College,81,480,620,41,21,27,84,49105,49105,Virginia,Southeast,Private,Midsize Suburb,9,7,98,56,100,38
Northland College,16,485,630,91,21,27,59,40950,40950,Wisconsin,Great Lakes,Private,Remote Town,1,5,52,56,100,47
Alfred University,92,490,590,30,22,27,70,39948,39948,New York,Mid East,Private,Remote Town,8,7,51,56,100,40
Hartwick College,50,500,620,15,23,27,84,50815,50815,New York,Mid East,Private,Remote Town,6,6,59,56,100,36
Berry College,47,530,640,53,24,29,60,43834,43834,Georgia,Southeast,Private,Small Suburb,4,6,62,56,100,31
Concordia University-Nebraska,22,430,570,84,21,27,72,34550,34550,Nebraska,Plains,Private,Distant Town,3,4,51,56,100,28
Berea College,15,510,630,80,22,26,34,31870,31870,Kentucky,Southeast,Private,Distant Town,15,4,57,56,100,91
Saint Mary-of-the-Woods College,69,390,520,31,15,22,98,42362,42362,Indiana,Great Lakes,Private,Fringe Rural,4,1,97,56,100,51
University of California-Riverside,96,470,580,40,20,25,62,32238,55116,California,Far West,Public,Large City,5,36,51,56,80,56
Carlow University,93,435,525,33,17,23,95,38450,38450,Pennsylvania,Mid East,Private,Large City,14,2,82,56,100,57
Oklahoma City University,35,490,620,81,23,29,72,44356,44356,Oklahoma,Southwest,Private,Large City,6,8,62,56,92,23
Iowa State University,8,460,620,93,22,28,83,18920,31472,Iowa,Plains,Public,Small City,3,4,43,56,76,21
Loras College,2,435,575,98,21,26,69,39077,39077,Iowa,Plains,Private,Small City,2,6,48,56,100,25
Auburn University,17,520,620,83,24,30,83,25282,41794,Alabama,Southeast,Public,Small City,7,3,49,56,68,13
Bluffton University,12,430,560,94,19,25,53,41864,41864,Ohio,Great Lakes,Private,Distant Town,6,3,50,57,100,41
Centenary College,90,410,540,6,18,23,91,43435,43435,New Jersey,Mid East,Private,Large Suburb,11,10,60,57,99,38
Western New England University,92,470,570,20,22,26,82,48890,48890,Massachusetts,New England,Private,Midsize City,5,8,40,57,96,29
Ave Maria University,69,460,620,64,20,26,60,36860,36860,Florida,Southeast,Private,Distant Rural,6,15,48,57,100,31
Doane College-Crete,10,430,515,90,21,26,72,38380,38380,Nebraska,Plains,Private,Distant Town,4,6,50,57,100,34
Wisconsin Lutheran College,10,450,550,96,21,27,64,36330,36330,Wisconsin,Great Lakes,Private,Large City,6,5,53,57,100,36
Wentworth Institute of Technology,89,480,580,14,21,27,58,46750,46750,Massachusetts,New England,Private,Large City,5,4,18,57,99,31
George Mason University,75,520,620,13,24,28,62,25335,44019,Virginia,Southeast,Public,Large Suburb,10,11,52,57,44,24
University of Hartford,74,470,570,15,20,26,62,48170,48170,Connecticut,New England,Private,Midsize City,15,9,50,57,98,32
Western Washington University,90,490,620,26,22,28,84,22671,33560,Washington,Far West,Public,Small City,2,7,55,57,49,23
Bridgewater College,85,460,560,16,20,25,55,43310,43310,Virginia,Southeast,Private,Small Suburb,9,3,55,57,100,30
Flagler College-St Augustine,72,540,580,51,21,25,50,29560,29560,Florida,Southeast,Private,Small Suburb,4,8,59,57,81,31
Wells College,88,480,600,32,21,26,60,49800,49800,New York,Mid East,Private,Distant Rural,11,8,66,57,100,56
SUNY at Fredonia,82,470,570,27,21,26,52,21638,31088,New York,Mid East,Public,Distant Town,5,5,55,57,65,35
The University of Tampa,75,480,570,47,21,26,52,39375,39375,Florida,Southeast,Private,Large City,6,12,55,57,93,21
University of Washington-Bothell Campus,88,430,560,23,19,23,76,27658,47232,Washington,Far West,Public,Large Suburb,5,8,50,57,56,39
Arcadia University,92,500,600,17,22,27,60,51970,51970,Pennsylvania,Mid East,Private,Large Suburb,9,5,68,57,100,36
The University of Alabama,23,490,620,76,22,30,57,27000,41500,Alabama,Southeast,Public,Small City,11,3,54,57,60,18
Augsburg College,6,495,623,93,20,25,61,45465,45465,Minnesota,Plains,Private,Large City,9,6,55,58,99,46
Meredith College,68,460,570,31,20,25,62,41878,41878,North Carolina,Southeast,Private,Large City,11,3,100,58,100,35
Hofstra University,72,530,630,27,23,28,59,54289,54289,New York,Mid East,Private,Large Suburb,9,13,53,58,95,23
University of Oregon,75,490,600,16,22,27,74,24352,44377,Oregon,Far West,Public,Midsize City,2,8,52,58,53,23
Mercyhurst University,75,470,580,40,21,26,75,44838,44838,Pennsylvania,Mid East,Private,Midsize City,4,2,56,58,100,30
Monmouth College,1,490,540,95,20,25,64,42050,42050,Illinois,Great Lakes,Private,Remote Town,13,11,55,58,100,52
Pacific University,87,490,600,47,21,27,86,50486,50486,Oregon,Far West,Private,Large Suburb,1,10,58,58,98,29
Dominican University,3,490,540,99,20,24,60,39918,39918,Illinois,Great Lakes,Private,Large Suburb,7,40,66,58,100,59
Roberts Wesleyan College,89,450,590,36,20,25,73,40888,40888,New York,Mid East,Private,Large Suburb,13,6,70,58,100,44
Stony Brook University,88,550,650,26,26,30,39,22127,34067,New York,Mid East,Public,Large Suburb,6,10,46,58,69,34
Gannon University,82,460,560,38,20,26,80,41820,41820,Pennsylvania,Mid East,Private,Midsize City,4,2,57,58,97,36
University of Minnesota-Morris,10,530,690,95,23,28,58,23206,23206,Minnesota,Plains,Public,Remote Town,2,3,55,58,84,34
Eastern Mennonite University,87,433,568,30,18,25,65,41500,41500,Virginia,Southeast,Private,Small City,6,7,65,58,99,34
Appalachian State University,88,520,620,19,24,28,63,19058,31266,North Carolina,Southeast,Public,Distant Town,3,4,53,58,39,24
George Fox University,83,470,600,39,20,26,75,43800,43800,Oregon,Far West,Private,Fringe Town,2,7,57,58,97,35
Wagner College,64,530,630,14,22,27,70,53924,53924,New York,Mid East,Private,Large City,6,9,65,58,99,21
Azusa Pacific University,86,490,600,42,21,27,80,45996,45996,California,Far West,Private,Large Suburb,5,23,64,58,89,26
Birmingham Southern College,32,520,630,82,23,29,64,45470,45470,Alabama,Southeast,Private,Midsize City,9,3,46,58,97,21
Hollins University,81,500,640,47,21,27,69,48180,48180,Virginia,Southeast,Private,Midsize Suburb,10,6,99,58,100,34
Bethel College-Indiana,70,440,550,59,20,27,72,35430,35430,Indiana,Great Lakes,Private,Small City,12,6,66,58,100,54
Grace College and Theological Seminary,68,457,580,54,20,26,79,33940,33940,Indiana,Great Lakes,Private,Distant Town,3,3,59,59,100,42
Mills College,86,540,640,36,23,28,68,56812,56812,California,Far West,Private,Large City,6,22,100,59,99,42
Gwynedd Mercy University,97,430,520,17,16,22,66,42030,42030,Pennsylvania,Mid East,Private,Large Suburb,24,4,75,59,100,35
Seton Hall University,90,500,600,18,22,27,79,50318,50318,New Jersey,Mid East,Private,Large Suburb,13,17,59,59,97,26
Purdue University-Main Campus,73,520,630,54,24,30,60,23242,42044,Indiana,Great Lakes,Public,Midsize Suburb,3,4,42,59,47,19
Bryan College-Dayton,29,450,600,87,20,25,38,31075,31075,Tennessee,Southeast,Private,Distant Town,5,1,56,59,88,39
The New School,52,505,635,15,22,28,67,59691,59691,New York,Mid East,Private,Large City,5,10,72,59,94,26
Adelphi University,74,500,600,18,19,24,68,47110,47110,New York,Mid East,Private,Large Suburb,11,13,69,59,95,32
Iona College,83,450,550,16,20,24,92,49295,49295,New York,Mid East,Private,Large Suburb,7,17,54,59,98,31
Colorado School of Mines,42,570,670,88,27,31,37,30603,46533,Colorado,Rocky Mountains,Public,Large Suburb,1,8,27,59,72,16
Dordt College,21,450,610,88,21,28,75,38800,38800,Iowa,Plains,Private,Remote Town,2,2,46,59,100,34
Ohio University-Main Campus,28,480,600,89,22,26,73,24396,33360,Ohio,Great Lakes,Public,Distant Town,5,2,60,59,58,25
Northwestern College,17,423,605,91,21,27,76,39236,39236,Iowa,Plains,Private,Distant Town,2,6,57,59,100,35
University of Mount Union,23,440,540,90,20,25,71,38895,38895,Ohio,Great Lakes,Private,Fringe Town,6,2,50,59,79,34
Aquinas College,11,420,520,89,23,27,52,35933,35933,Tennessee,Southeast,Private,Large City,8,4,82,59,100,50
Oglethorpe University,76,520,630,52,22,27,56,46430,46430,Georgia,Southeast,Private,Large Suburb,18,10,57,59,97,38
Concordia University-Irvine,83,453,550,38,20,25,91,43550,43550,California,Far West,Private,Midsize City,3,18,62,59,100,27
University of Evansville,59,490,600,65,23,29,84,44370,44370,Indiana,Great Lakes,Private,Midsize City,3,3,58,59,96,26
College of Charleston,62,530,630,40,23,28,70,26656,43120,South Carolina,Southeast,Public,Midsize City,6,4,62,59,62,20
Lycoming College,92,460,570,14,21,26,72,46707,46707,Pennsylvania,Mid East,Private,Small City,5,3,56,59,100,34
Converse College,84,480,590,60,21,26,52,42094,42094,South Carolina,Southeast,Private,Small City,6,4,100,59,98,44
Union University,16,580,680,91,22,29,74,44220,44220,Tennessee,Southeast,Private,Small City,16,2,61,59,100,33
Salisbury University,58,540,610,17,22,26,55,22368,30714,Maryland,Mid East,Public,Small Suburb,12,4,57,59,75,16
College of the Ozarks,3,510,560,98,20,25,13,27276,27276,Missouri,Plains,Private,Distant Town,1,2,53,60,100,67
SUNY College at Brockport,94,470,570,41,21,26,48,20952,30402,New York,Mid East,Public,Fringe Town,8,5,55,60,68,38
The Kings College,57,540,630,45,24,28,71,48717,48717,New York,Mid East,Private,Large City,3,8,60,60,100,34
Ohio Wesleyan University,49,490,620,68,22,27,75,55690,55690,Ohio,Great Lakes,Private,Large Suburb,6,5,54,60,99,24
Columbia International University,78,480,620,47,19,25,63,32130,32130,South Carolina,Southeast,Private,Midsize City,11,4,46,60,93,42
Huntington University,68,440,570,64,21,27,97,35520,35520,Indiana,Great Lakes,Private,Distant Town,2,3,57,60,97,36
Christopher Newport University,75,540,630,27,23,28,59,25808,35708,Virginia,Southeast,Public,Midsize City,8,5,57,60,57,15
Massachusetts Maritime Academy,96,460,550,18,20,24,77,22073,36979,Massachusetts,New England,Public,Midsize Suburb,2,1,12,60,53,19
University of Colorado Boulder,45,520,630,75,24,29,88,28887,50655,Colorado,Rocky Mountains,Public,Small City,2,10,45,60,40,17
Biola University,85,500,620,40,22,27,73,46624,46624,California,Far West,Private,Large Suburb,2,17,62,60,93,28
Randolph-Macon College,84,490,590,21,21,26,64,47740,47740,Virginia,Southeast,Private,Large Suburb,10,4,53,60,100,26
Pennsylvania State University-Penn State Erie-Behrend College,81,460,560,12,19,25,84,30840,37902,Pennsylvania,Mid East,Public,Midsize Suburb,4,3,35,60,61,33
Mount St Mary's College,91,420,510,35,16,22,74,51100,51100,California,Far West,Private,Large City,7,58,94,61,100,70
