Name,SATPercentage,SAT_Bottom25Percent,SAT_Top25Percent,ACTPercentage,ACT_Bottom25Percent,ACT_Top25Percent,PercentageAdmitted,InStateTuition_2014,OutofStateTuition_2014,State,Region,Type,Location,PercentageBlack,PercentageLatinx,PercentageFemale,GraduationRate,PercentageRecievingAnyFinancialAid,PercentageRecievingPellGrant
Marymount Manhattan College,84,480,590,28,21,26,75,48740,48740,New York,Mid East,Private,Large City,10,16,77,41,89,30
William Peace University,81,410,520,39,16,21,91,38900,38900,North Carolina,Southeast,Private,Large City,35,3,71,41,100,67
University of St Thomas,72,490,590,26,23,28,77,41486,41486,Texas,Southwest,Private,Large City,6,37,62,41,91,38
Southern Illinois University-Edwardsville,2,470,580,98,20,25,84,23069,34013,Illinois,Great Lakes,Public,Large Suburb,14,4,53,41,61,36
Curry College,96,420,515,11,16,20,67,50845,50845,Massachusetts,New England,Private,Large Suburb,9,5,63,41,92,32
Kettering University,17,490,630,92,24,29,62,51277,51277,Michigan,Great Lakes,Private,Midsize City,3,3,18,41,100,30
Tougaloo College,52,365,537,99,15,21,36,20757,20757,Mississippi,Southeast,Private,Midsize City,98,0,65,41,72,70
University of Massachusetts-Dartmouth,98,470,570,9,21,25,72,25355,37830,Massachusetts,New England,Public,Midsize Suburb,11,7,48,41,75,40
University of North Dakota,7,470,590,94,21,26,74,21162,31448,North Dakota,Plains,Public,Small City,2,3,43,41,65,21
Northern Arizona University,64,470,580,50,20,25,91,22746,35101,Arizona,Southwest,Public,Small City,3,19,58,41,66,37
Midway College,11,490,610,89,19,25,54,37650,37650,Kentucky,Southeast,Private,Distant Rural,6,4,81,42,100,54
Coker College,58,430,520,39,18,22,53,34689,34689,South Carolina,Southeast,Private,Distant Town,36,3,63,42,100,59
Sam Houston State University,68,450,540,42,19,23,65,20024,28520,Texas,Southwest,Public,Distant Town,18,19,59,42,71,46
University of Louisville,5,470,580,94,22,28,71,22796,36684,Kentucky,Southeast,Public,Large City,11,4,51,42,93,32
Virginia Wesleyan College,59,458,573,12,18,24,93,44190,44190,Virginia,Southeast,Private,Large City,23,6,61,42,98,40
Ursuline College,17,430,630,94,19,24,58,38344,38344,Ohio,Great Lakes,Private,Large Suburb,28,2,92,42,100,58
Neumann University,95,390,470,10,16,20,55,39475,39475,Pennsylvania,Mid East,Private,Large Suburb,18,3,64,42,100,49
North Dakota State University-Main Campus,4,490,625,98,21,26,84,19460,30042,North Dakota,Plains,Public,Midsize City,3,1,44,42,58,21
SUNY Institute of Technology at Utica-Rome,93,450,550,22,22,26,48,23065,32515,New York,Mid East,Public,Midsize Suburb,7,5,41,42,83,45
Northwest Nazarene University,78,460,590,66,21,28,62,36550,36550,Idaho,Rocky Mountains,Private,Midsize Suburb,2,7,56,42,100,40
Shorter University,67,410,530,61,18,23,68,33230,33230,Georgia,Southeast,Private,Small City,17,4,57,42,98,45
Kent State University at Kent,26,470,570,83,20,25,83,24926,32886,Ohio,Great Lakes,Public,Large Suburb,8,3,59,42,81,36
University of Washington-Tacoma Campus,93,410,540,18,17,23,85,27649,47223,Washington,Far West,Public,Midsize City,7,9,53,42,72,48
University of Wyoming,16,480,610,89,22,27,96,18145,27865,Wyoming,Rocky Mountains,Public,Remote Town,1,6,53,42,86,20
Franklin Pierce University,95,440,530,6,16,21,85,45898,45898,New Hampshire,New England,Private,Fringe Rural,4,5,56,42,100,30
University of Idaho,51,480,590,71,20,26,66,19598,32674,Idaho,Rocky Mountains,Public,Fringe Rural,1,8,47,42,87,38
New Jersey Institute of Technology,96,480,590,7,22,29,65,31484,44540,New Jersey,Mid East,Public,Large City,8,19,24,42,71,35
McKendree University,7,450,520,93,20,25,63,38290,38290,Illinois,Great Lakes,Private,Large Suburb,15,4,56,42,100,34
Bluefield College,74,390,500,41,16,21,57,35560,35560,Virginia,Southeast,Private,Remote Town,22,3,55,42,100,50
Point University,63,420,535,63,18,22,54,27400,27400,Georgia,Southeast,Private,Distant Town,39,3,56,43,89,56
Emory & Henry College,77,430,560,47,18,25,66,41866,41866,Virginia,Southeast,Private,Fringe Rural,10,2,48,43,100,40
Trevecca Nazarene University,24,480,590,88,19,26,77,33322,33322,Tennessee,Southeast,Private,Large City,8,3,55,43,99,40
University of North Carolina at Charlotte,86,480,560,20,20,25,69,19080,31609,North Carolina,Southeast,Public,Large City,17,7,48,43,53,37
Sonoma State University,93,450,550,38,19,24,82,23295,34455,California,Far West,Public,Large Suburb,2,24,61,43,41,29
Northwest Christian University,87,450,535,35,18,23,70,37470,37470,Oregon,Far West,Private,Midsize City,2,8,64,43,100,49
Judson University,11,460,540,88,18,27,71,40020,40020,Illinois,Great Lakes,Private,Midsize City,6,10,56,43,99,24
Worcester State University,89,450,550,9,20,24,61,22718,28798,Massachusetts,New England,Public,Midsize City,6,7,60,43,69,33
University of Alabama at Birmingham,6,520,640,93,22,28,87,22495,31687,Alabama,Southeast,Public,Midsize City,26,3,58,43,79,36
Culver-Stockton College,9,450,540,93,18,23,59,34952,34952,Missouri,Plains,Private,Remote Rural,12,3,50,43,100,57
Pfeiffer University,89,410,520,24,18,22,96,37140,37140,North Carolina,Southeast,Private,Distant Rural,16,4,60,43,100,50
Defiance College,18,380,530,90,18,23,72,41700,41700,Ohio,Great Lakes,Private,Distant Town,11,6,48,43,100,49
Indiana University of Pennsylvania-Main Campus,94,440,530,16,17,22,90,23920,35056,Pennsylvania,Mid East,Public,Distant Town,10,3,55,43,53,40
University of Mobile,13,470,610,87,20,25,71,32570,32570,Alabama,Southeast,Private,Fringe Rural,22,1,67,43,93,34
Marian University,80,460,550,60,19,25,58,41219,41219,Indiana,Great Lakes,Private,Large City,13,4,64,43,99,42
Newman University,8,460,610,90,20,27,45,34408,34408,Kansas,Plains,Private,Large City,4,11,62,43,99,34
University of Massachusetts-Lowell,96,500,600,11,22,28,64,24961,39010,Massachusetts,New England,Public,Large Suburb,6,9,39,43,76,30
